公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址
002146,荣盛发展,荣盛房地产发展股份有限公司,"RiseSun Real Estate Development Co.,Ltd.",河北省廊坊市经济技术开发区祥云道81号,002146,荣盛发展,2007-08-08,"4,348,163,851","3,364,959,498",,,,0,0,华北,河北,廊坊市,K 房地产,www.risesun.cn
002147,新光圆成,新光圆成股份有限公司,Neoglory prosperity Inc.,安徽省马鞍山市经济技术开发区超山西路,002147,新光圆成,2007-08-08,"1,406,212,627","224,824,021",,,,0,0,华东,安徽,马鞍山市,K 房地产,www.masfy.com
002148,北纬通信,北京北纬通信科技股份有限公司,"BEIJING BEWINNER COMMUNICATIONS CO., LTD.",北京市丰台区西四环南路19号九号楼247室,002148,北纬通信,2007-08-10,"255,852,876","200,664,049",,,,0,0,华北,北京,北京市,I 信息技术,www.bisp.com
002149,西部材料,西部金属材料股份有限公司,WESTERN METAL MATERIALS CO. LTD,陕西省西安市高新技术产业开发区科技三路56号,002149,西部材料,2007-08-10,"212,707,137","174,630,000",,,,0,0,西北,陕西,西安市,C 制造业,www.c-wmm.com
002150,通润装备,江苏通润装备科技股份有限公司,"JIANGSU TONGRUN EQUIPMENT TECHNOLOGY CO.,LTD.",江苏省常熟市海虞镇周行通港工业开发区,002150,通润装备,2007-08-10,"274,243,887","250,200,000",,,,0,0,华东,江苏,苏州市,C 制造业,www.tongrunindustries.com
002151,北斗星通,北京北斗星通导航技术股份有限公司,"Beijing BDStar Navigation Co.,Ltd.",北京市海淀区中关村永丰高新技术产业基地丰贤东路7号北斗星通大厦,002151,北斗星通,2007-08-13,"506,369,175","233,624,163",,,,0,0,华北,北京,北京市,C 制造业,www.navchina.com
002152,广电运通,广州广电运通金融电子股份有限公司,"GRG Banking Equipment Co., Ltd.",广东省广州市高新技术产业开发区科学城科林路9、11号,002152,广电运通,2007-08-13,"1,619,257,150","1,286,616,190",,,,0,0,华南,广东,广州市,C 制造业,www.grgbanking.com
002153,石基信息,北京中长石基信息技术股份有限公司,"Beijing Shiji Information Technology Co., Ltd.",北京市海淀区复兴路甲65号-A11层,002153,石基信息,2007-08-13,"1,066,788,753","484,463,043",,,,0,0,华北,北京,北京市,I 信息技术,www.shijigroup.com
002154,报 喜 鸟,浙江报喜鸟服饰股份有限公司,"ZHEJIANG BAOXINIAO GARMENT CO.,LTD.",浙江省永嘉县瓯北镇报喜鸟工业区,002154,报 喜 鸟,2007-08-16,"1,172,018,740","1,067,810,934",,,,0,0,华东,浙江,温州市,C 制造业,www.bxn.com
002155,湖南黄金,湖南黄金股份有限公司,Hunan Gold Corporation Limited,湖南省长沙市雨花区芙蓉中路二段金源大酒店16楼,002155,湖南黄金,2007-08-16,"1,202,039,474","996,157,273",,,,0,0,华中,湖南,怀化市,B 采矿业,www.hngoldcorp.com
002156,通富微电,通富微电子股份有限公司,"TongFu Microelectronics Co.,Ltd.",江苏省南通市崇川开发区崇川路288号,002156,通富微电,2007-08-16,"972,630,114","972,424,974",,,,0,0,华东,江苏,南通市,C 制造业,www.tfme.com
002157,正邦科技,江西正邦科技股份有限公司,"JIANGXI ZHENGBANG TECHNOLOGY CO.,LTD.",江西省南昌市高新技术开发区艾溪湖一路569号,002157,正邦科技,2007-08-17,"2,014,467,141","1,165,732,015",,,,0,0,华东,江西,南昌市,C 制造业,www.zhengbang.com
